name,month,year,rain,tmean
buenos aires coronel dorrego,8,1993,0.00020374680946666667,10.112333333333334
buenos aires coronel dorrego,8,1994,0.0012941801501666667,9.102
buenos aires coronel dorrego,8,1995,0.0010596451895,8.553833333333333
buenos aires coronel dorrego,8,1996,0.0034063291616666666,11.398833333333332
buenos aires coronel dorrego,8,1997,0.0012508766971666666,9.445500000000001
buenos aires coronel dorrego,8,1998,0.0007986744046666667,10.257
buenos aires coronel dorrego,8,1999,0.0016386332933333333,10.206166666666666
buenos aires coronel dorrego,8,2000,0.0009749613721666667,8.275833333333333
buenos aires coronel dorrego,8,2001,0.003326475595,10.807666666666668
buenos aires coronel dorrego,8,2002,0.005076500271666667,9.46
buenos aires coronel dorrego,8,2003,0.0012828839783333333,8.739333333333333
buenos aires coronel dorrego,8,2004,0.0022886863100000003,9.378333333333334
buenos aires coronel dorrego,8,2005,0.0016949423149999999,9.215833333333334
buenos aires coronel dorrego,8,2006,0.00030144984366666666,9.361833333333333
buenos aires coronel dorrego,8,2007,0.0004776765558333333,7.1285
buenos aires coronel dorrego,8,2008,0.00040034110433333334,9.571333333333333
buenos aires coronel dorrego,8,2009,0.00023662917516666668,11.874333333333334
buenos aires coronel dorrego,8,2010,0.00019841928824999999,8.587833333333332
buenos aires coronel dorrego,8,2011,0.0009813196851666667,8.731833333333332
buenos aires coronel dorrego,8,2012,0.00310846067,9.865166666666665
buenos aires coronel dorrego,8,2013,0.0005198100125,8.783666666666667
buenos aires coronel dorrego,8,2014,0.0021481674816666665,11.024166666666668
buenos aires coronel dorrego,8,2015,0.0012370079783333332,10.577499999999999
buenos aires coronel dorrego,8,2016,0.00024925944383333336,10.8455
buenos aires coronel dorrego,8,2017,0.002720804885029745,10.639404296875025
buenos aires coronel dorrego,8,2018,0.0005986328508393968,9.609309895833357
buenos aires coronel dorrego,8,2019,0.00030222685503147504,9.839160156250024
buenos aires coronel dorrego,8,2020,0.0009627555652210566,9.807470703125025
buenos aires coronel dorrego,8,2021,0.000645669751490115,10.858024088541692
buenos aires coronel dorrego,8,2022,0.0004579860988693483,9.704964192708358
buenos aires coronel dorrego,9,1993,0.0006287615638333332,11.635666666666667
buenos aires coronel dorrego,9,1994,0.0008188242105,11.9975
buenos aires coronel dorrego,9,1995,0.0005364235754999999,11.863666666666665
buenos aires coronel dorrego,9,1996,0.0006316987865,11.581
buenos aires coronel dorrego,9,1997,0.0013247018583333332,10.045666666666667
buenos aires coronel dorrego,9,1998,0.004086210905,10.506166666666667
buenos aires coronel dorrego,9,1999,0.0012590371750000001,11.969
buenos aires coronel dorrego,9,2000,0.0025673152733333335,10.394833333333333
